issue,title,validator comment,grade,root cause (URL),size
findings-11,Price manipulation in the DEX,price is from offchain oracle,Unsatisfactory,,68
findings-12,openCdp，adjustCdp Sliding point control may fail,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,188
findings-14,Staking ETH incorrectly assumes revert bubbling,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,190
findings-3,Both routers don't support third party delegating operations on CDP,,Unsatisfactory,,107
findings-7,Main variables - Position manager allows needs to be revoked after each operation can be bypassed,,Unsatisfactory,,113
findings-8,Incorrect collateral calculation,collateral is stETH share,Unsatisfactory,,28
findings-9,"ZapRouter Contract Can Retain Tokens, Breaking Invariant",user error,Unsatisfactory,,90
validation-10,no check that `_stETHDiff` is greater than zero  ,,Unsatisfactory,,30
validation-100,ZapRouterBase::_depositRawEthIntoLido Lacks Proper Validation Checks for Low-Level call,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,79
validation-101,Unchecked Low-Level Call in _depositRawEthIntoLido Function,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,43
validation-102,Malicious actors can donate steth temporarily to Sandwich and MEV swaps through the router,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491-L492,207
validation-103,Lack of Slippage Protection in Token Swaps,,Unsatisfactory,,67
validation-104,Improper CDP Borrower Address Handling in `_openCdpCallback` Function,,Unsatisfactory,,85
validation-105,Flash Loan Transaction Might Always End up Reverting Due to An Assumption That The Receiver Has Already Set The Necessary Approval,set to type(uint256).max in constructor(),Unsatisfactory,,114
validation-106,ERC20 tokens with no return value will fail to transfer,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,61
validation-107,Unchecked .call() Low-Level Function Result,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,164
validation-108,Reverting all actions,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,50
validation-109,Inconsistent Collateral Assignment in `openCdpWithWstEth` Function Allows Under-Collateralized CDP Creation,,Unsatisfactory,,305
validation-11,lack checks `_stETHReiceived`,,Unsatisfactory,,35
validation-110,ETH Lockup Due to Lack of Error Handling in EbtcLeverageZapRouter Contract,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,62
validation-111,Failure in ETH to stETH Conversion Without User Feedback in EbtcLeverageZapRouter Contract,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,55
validation-112,Unintended Swap Failures Leading to  DoS in `_doSwapChecks` Function,,Unsatisfactory,,70
validation-113,Incorrect Comparison Logic in Post-Operation Checks,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,73
validation-114,"Position Manager Permit Not Revoked After Operations, Compromising CDP Security",,Unsatisfactory,,57
validation-115,Unchecked return value of the low-level call() in `_depositRawEthIntoLido` .,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,53
validation-116,Insufficient Collateral Transfer Check in _getAdjustCdpParams,,Unsatisfactory,,363
validation-117,Fixed Hash Value in LeverageMacroBase contract,,Unsatisfactory,,83
validation-118,Unchecked ETH Transfer in _depositRawEthIntoLido Function,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,40
validation-12,`doOperation` Marked External But Always Reverts,,Unsatisfactory,,47
validation-120,Deposit success on Lido is not checked which could lead to unexpected behavior,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,57
validation-121,The contract does not sweep potential remaining stETH tokens,,Unsatisfactory,,109
validation-122,Adjusting a CDP allows a user to reduce their collateral under the threshold enforced by the protocol,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,93
validation-123,"In the _doSwapChecks function, the comparison between the number of tokens received and expectedMinOut should use >=",,Unsatisfactory,,57
validation-124,Users can re-enter Router through DEX to reduce the cost of flash loan from BorrowerOperations,nonReentrant exists on _openCdp(),Unsatisfactory,,57
validation-125,The condition check for parameters in the _getPostCheckParams function is reversed,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,161
validation-126,Wrong judgment causes the user's check to not work,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,39
validation-127,Not real closing cdp,called in flashloan callback func,Unsatisfactory,,39
validation-128,The router may not be able to operate due to insufficient funds.,funds from flashloan,Unsatisfactory,,31
validation-129,"Protocol or Users won't be eligible for Lido's referral rewards for depositing ETH, as the referral account is not properly set.",referal program looks retired https://snapshot.org/#/lido-snapshot.eth/proposal/0xc017c451cd1ec85bf259d1f866844da296bb0f3209fd58297ccf07f7e91fa690,Unsatisfactory,,35
validation-13, Add Require Statement to Handle Potential Failures in _depositRawEthIntoLido Function,,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38,32
validation-130,Unlocked Pragma,,Unsatisfactory,,39
