issue,title,validator comment,grade,root cause (URL),size
findings-11,Price manipulation in the DEX,Inadequate coded POC alleging the exploit,Unsatisfactory,,68
findings-12,openCdp，adjustCdp Sliding point control may fail,Devoid of coded POC alleging flaw on the intended design,Unsatisfactory,,188
findings-14,Staking ETH incorrectly assumes revert bubbling,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,190
findings-3,Both routers don't support third party delegating operations on CDP,Devoid of coded POC alleging flaw on the intended design,Unsatisfactory,,107
findings-7,Main variables - Position manager allows needs to be revoked after each operation can be bypassed,Permit leak. Same root cause as in #54,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L115-L133,113
findings-8,Incorrect collateral calculation,Insufficient proof alleging the flaw,Unsatisfactory,,28
findings-9,"ZapRouter Contract Can Retain Tokens, Breaking Invariant",Low QA user input mistake,Unsatisfactory,,90
validation-10,no check that `_stETHDiff` is greater than zero  ,Unlikely. _stETHDiff of type unit256 will revert if ever happens,Unsatisfactory,,30
validation-100,ZapRouterBase::_depositRawEthIntoLido Lacks Proper Validation Checks for Low-Level call,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,79
validation-101,Unchecked Low-Level Call in _depositRawEthIntoLido Function,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,43
validation-102,Malicious actors can donate steth temporarily to Sandwich and MEV swaps through the router,Commonly known issue in DEX on an intended design,Unsatisfactory,,207
validation-103,Lack of Slippage Protection in Token Swaps,It's implemented in LeverageZapRouterBase::_getSwapOperations,Unsatisfactory,,67
validation-104,Improper CDP Borrower Address Handling in `_openCdpCallback` Function,"Missing borrower address applicable to the internal _openCdp(), NOT the external openCdp()",Unsatisfactory,,85
validation-105,Flash Loan Transaction Might Always End up Reverting Due to An Assumption That The Receiver Has Already Set The Necessary Approval,Insufficient proof alleging the flaw,Unsatisfactory,,114
validation-106,ERC20 tokens with no return value will fail to transfer,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,61
validation-107,Unchecked .call() Low-Level Function Result,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,164
validation-108,Reverting all actions,Could be ready DoS if willSweep were immutably set true ,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,50
validation-109,Inconsistent Collateral Assignment in `openCdpWithWstEth` Function Allows Under-Collateralized CDP Creation,That's the leveraged amount needed,Unsatisfactory,,305
validation-11,lack checks `_stETHReiceived`,Unlikely. _stETHReceived of type unit256 will revert if ever happens,Unsatisfactory,,35
validation-110,ETH Lockup Due to Lack of Error Handling in EbtcLeverageZapRouter Contract,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,62
validation-111,Failure in ETH to stETH Conversion Without User Feedback in EbtcLeverageZapRouter Contract,_submit(0) will be called via the fallback function in Lido and revert if need be,Unsatisfactory,,55
validation-112,Unintended Swap Failures Leading to  DoS in `_doSwapChecks` Function,Low inconsequential,Unsatisfactory,,70
validation-113,Incorrect Comparison Logic in Post-Operation Checks,Insufficient proof alleging the flaw as it's in #75,Unsatisfactory,,73
